id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
841,1210000,58339,2856,11,2809,724374,22485893
3736,1930000,100657,3302,70,2344,947250,22451858
7311,2820000,213110,3956,56,3869,1008136,19732966
8134,3030000,282686,5676,77,5311,1567324,11682959
10591,3640000,395591,4810,129,4415,1135196,15920817
695,1170000,56460,2563,11,2365,663180,24952129
1216,1300000,310492,6045,11,5845,681910,10767858
2510,1620000,87687,3736,11,3110,1088474,20778319
5794,2440000,1449483,16818,81,17251,2417893,4278327
5441,2360000,164517,4333,81,4201,1027452,18599608
2329,1580000,129495,10015,11,9038,1467136,11994883
4606,2150000,357304,10387,76,14104,1461538,8259108
10209,3550000,229922,4285,129,4200,1074253,20232427
497,1120000,85820,3115,11,3507,320260,23982569
6900,2720000,188142,5627,56,5260,1350946,14838557
8299,3070000,200949,3908,77,3605,1073588,21294248
4632,2150000,140475,3430,76,3585,640962,20170563
1192,1290000,117425,3137,11,2251,887312,24878147
4695,2170000,114964,3776,76,4267,821548,16316605
5186,2290000,336549,12530,81,9895,2283281,8700466
11082,3770000,301772,5579,101,4835,1072391,17098243
9972,3490000,226864,3855,71,3388,1036510,20288840
270,1060000,73258,3241,11,3903,196608,163814316
3529,1880000,484921,5523,70,4736,1768468,9631582
965,1240000,59170,3676,11,3347,971698,20627260
11679,3910000,609550,6401,78,6356,1587966,13687047
1768,1440000,73813,3254,11,3325,847598,22025063
7098,2770000,164602,7195,56,6150,1345904,16495934
1215,1300000,99441,10481,11,10200,1731409,13184524
3789,1940000,102408,3922,70,3297,1056438,19986431
5550,2380000,210982,3630,81,2711,1086312,21514072
9034,3250000,359070,5483,131,6515,353449,22002287
9403,3350000,511456,16669,71,9523,2674272,7473193
5030,2250000,533847,11100,81,11597,2049955,11245189
90,1020000,26580,932,139,499,511844,77166616
4851,2210000,570409,10498,76,9536,569140,3605086
3646,1910000,179414,3072,70,3228,557696,33544539
7862,2960000,162955,4880,77,4328,1049156,16683066
8464,3110000,164520,3538,77,2861,1014404,21208284
8572,3140000,545217,5914,77,6090,1446896,12319538
9077,3260000,510252,9796,131,10938,1536724,11124124
177,1040000,26147,926,13,582,404934,35392672
6644,2660000,204243,3644,56,3109,1057994,21421276
10256,3560000,569199,14235,129,17637,1403790,14343452
11946,3980000,354348,5920,78,7057,476232,20497891
2816,1700000,126450,3719,70,3321,1063406,21569915
5505,2370000,161305,3749,81,2935,995082,19539350
7142,2780000,175897,7483,56,7884,1208898,16309686
7477,2860000,173182,7200,97,9029,619596,19135964
10888,3720000,218935,5418,101,5090,966641,21564687
3617,1900000,139947,2985,70,3357,199308,34131586
5150,2280000,183523,4293,81,3222,901235,15579629
8810,3200000,195937,4961,77,4392,1392522,20057474
10439,3600000,524109,19807,129,25410,1796832,9953902
2475,1610000,145130,9117,11,8313,1619898,9825131
4485,2120000,112376,4587,76,4479,1048470,20208942
7266,2810000,150319,3911,56,3419,1307926,22337180
7141,2780000,286348,5348,56,5131,1198400,13622124
6617,2650000,276186,4017,56,3935,1056922,14415360
1284,1320000,63853,3433,11,3068,893360,21710030
9228,3300000,182966,4926,131,4727,1028188,15057978
1940,1480000,112915,3177,11,2944,861936,22499639
11274,3810000,767869,5144,101,4123,1316647,14512479
222,1050000,50530,4239,11,3955,777764,23243489
6275,2560000,194236,2993,56,3039,475408,22235771
9307,3320000,185614,4418,71,5466,199308,49544742
11004,3750000,223305,3984,101,3217,957543,19054182
2718,1670000,312205,19052,99,23693,1790382,6547456
4945,2230000,122117,3319,76,3230,913580,23529060
2068,1510000,117553,6541,11,6202,1561426,11798220
1920,1480000,95295,3955,11,4238,910470,19896209
7966,2990000,183420,4011,77,4416,477060,22070110
149,1030000,82333,558,57,298,213354,89476885
3854,1960000,105529,3857,70,3367,1163408,20640373
7808,2950000,433266,6394,85,7361,537614,8330456
11873,3960000,713824,5490,78,5999,749468,24137420
503,1120000,84200,3806,11,3658,552600,27808524
686,1170000,318139,6132,11,6494,199308,41768900
4775,2190000,153785,3087,76,3173,550370,32735189
8335,3080000,358660,6269,77,5473,1491212,11638975
9872,3460000,463174,20528,71,29609,1989719,1396805
1416,1350000,82583,3701,11,3555,968058,18725736
10358,3580000,235550,5687,129,5655,1189172,14902224
7284,2820000,145617,4512,56,4063,1096340,20959090
1527,1380000,68500,4932,11,4135,1282896,19804495
136,1030000,16401,1071,65,1277,196608,63450099
856,1210000,204078,9120,11,10708,1305241,6945569
4787,2190000,115781,2843,76,2646,442386,27687187
5638,2400000,479121,13710,81,12307,2119798,8980653
6520,2630000,177805,4361,56,3582,1174300,16729233
3938,1980000,156847,9681,70,9525,1566660,11338861
4594,2140000,500786,16040,76,20635,981182,13055478
5432,2350000,124332,3488,81,2758,1029954,21754635
7540,2880000,173057,3392,97,3702,199308,41239926
345,1080000,143389,19087,11,28898,1008876,12804479
8511,3120000,175508,5586,77,5174,1123552,18117737
8337,3080000,393823,5828,77,4604,1456760,14441757
11161,3790000,252954,4215,101,3906,1049771,17690866
4519,2120000,189433,4222,76,4273,1084734,18709133
5367,2340000,123510,3406,81,2338,937710,20549943
2672,1660000,356581,10745,11,12961,1990731,1708230
6963,2740000,178807,4286,56,4356,1195440,19839146
7265,2810000,182265,3874,56,3587,1120938,20373953
7920,2980000,270567,10075,77,14558,926645,792884
12020,4000000,683352,4571,78,5189,582249,18351484
1666,1410000,191492,5338,11,6250,291062,4247898
2096,1520000,106469,4545,11,4594,886977,1359373
4437,2100000,152882,11176,76,12050,1820558,5929797
1127,1280000,63862,3517,11,2559,964354,22983953
1164,1290000,70516,3707,11,3193,969776,21052945
1473,1360000,69092,4392,11,4282,730466,22885231
46,1010000,31120,2059,144,1048,703818,49589125
1425,1350000,93678,4779,11,4702,1198132,14510983
3008,1750000,92596,4138,70,3780,1201166,19744846
6443,2610000,241656,4057,56,4476,1079992,13179243
